,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0.31738,-10.47960451,-10.42731499,-10.43382987,-10.48093873,-10.43710347,-10.35108926,-10.32694182,-10.35205068,-10.32087501,-10.27856438,-10.29127298,-10.33735962,-10.31232279,-10.26664367,-10.27547945,-10.31771476,-10.30940368,-10.28331854,-10.28448565,-10.29400018,-10.27291515,-10.26548017,-10.321236,-10.35759321,-10.31966277,-10.25432698,-10.25434232,-10.2849824,-10.30006369,-10.25132937,-10.2106658,-10.20209441,-10.23547055,-10.22749531,-10.20755259,-10.1969921,-10.22626007,-10.21612817,-10.18700947,-10.16369011,-10.18793144,-10.19593313,-10.18827705,-10.18077509,-10.20279752,-10.15322472,-10.0604027,-10.01597438,-10.0738679
0.3418,-10.38005196,-10.33845891,-10.27769945,-10.27350786,-10.31744993,-10.26135243,-10.20662989,-10.17123922,-10.20847099,-10.19307924,-10.18000965,-10.15815219,-10.1946133,-10.16159386,-10.15113836,-10.16150374,-10.24547365,-10.23735317,-10.2223029,-10.20657092,-10.23744097,-10.19588858,-10.23738105,-10.25325949,-10.29675884,-10.2035963,-10.15641021,-10.1566776,-10.2284818,-10.17488585,-10.12262949,-10.12631666,-10.21475354,-10.18142673,-10.12212519,-10.12081736,-10.19444148,-10.15775325,-10.08012782,-10.08902658,-10.17013348,-10.1573399,-10.08414467,-10.10880954,-10.19262665,-10.18257098,-9.98798767,-9.946634933,-10.05335838
0.36621,-10.31270341,-10.2264172,-10.14367263,-10.20134472,-10.27417372,-10.17164154,-10.0205668,-10.06952597,-10.25980356,-10.21531957,-9.998650115,-10.00772438,-10.18924591,-10.16789561,-9.95530453,-9.932337061,-10.10818554,-10.14317297,-9.951604187,-9.915458727,-10.08757057,-10.16012711,-9.981975528,-9.932813128,-10.07205493,-10.13492925,-9.975398848,-9.926326842,-10.04910166,-10.10648175,-9.949716984,-9.886690479,-10.0029364,-10.08744231,-9.951790856,-9.880654147,-9.998163241,-10.10458056,-9.987555719,-9.903287087,-10.00893265,-10.11366112,-9.9965465,-9.897950383,-9.968633731,-9.981124764,-9.75416636,-9.60512216,-9.739028211
0.39062,-9.81995529,-9.807708819,-9.654343156,-9.690467925,-9.863931657,-9.859868716,-9.633587401,-9.577851598,-9.659607683,-9.674759143,-9.499528825,-9.44097713,-9.56013896,-9.670361974,-9.544145406,-9.449407844,-9.510117092,-9.605176472,-9.516491588,-9.417709724,-9.473670464,-9.588331816,-9.534055694,-9.432095532,-9.470940198,-9.568278718,-9.515702713,-9.400897392,-9.429223112,-9.536308392,-9.528117401,-9.406846312,-9.389367676,-9.470205644,-9.494259462,-9.413919991,-9.423124152,-9.517092477,-9.546115645,-9.4364914,-9.408548315,-9.501903366,-9.5731805,-9.497068045,-9.439748775,-9.432738612,-9.414311369,-9.335579531,-9.311299998
0.41504,-9.074245342,-9.086254439,-8.988896089,-8.983116872,-9.111442722,-9.148250061,-8.984932965,-8.858306296,-8.914398283,-9.024109987,-8.979292296,-8.860788459,-8.877290171,-8.987575959,-8.981754803,-8.858560267,-8.862059011,-8.978733104,-8.991804109,-8.867550876,-8.850114436,-8.963820887,-9.006418238,-8.885884962,-8.846905307,-8.942430818,-8.982022682,-8.847669271,-8.790680116,-8.893092393,-8.966467799,-8.841483305,-8.755678427,-8.828024787,-8.917063724,-8.83114981,-8.756841084,-8.835073344,-8.932295339,-8.848124013,-8.763560911,-8.838586445,-8.962217072,-8.895638044,-8.790089701,-8.858382605,-9.024347625,-9.044906039,-8.950167928
0.43945,-8.65811742,-8.617586471,-8.543433592,-8.556544454,-8.601839289,-8.542893287,-8.422180722,-8.395599083,-8.473817177,-8.515574834,-8.454168737,-8.434139195,-8.512261842,-8.553344065,-8.486134434,-8.453225325,-8.511587967,-8.56210548,-8.505629535,-8.456359697,-8.496267422,-8.547298993,-8.49643301,-8.452809271,-8.49381931,-8.54150506,-8.467224728,-8.402522323,-8.452433091,-8.538066432,-8.475574004,-8.392108045,-8.434219731,-8.533379626,-8.47774498,-8.386071583,-8.43030668,-8.535718989,-8.473687376,-8.361791226,-8.394207217,-8.520232335,-8.499241976,-8.383997153,-8.387577009,-8.51330773,-8.541393528,-8.445850194,-8.44748119
0.46387,-8.508254623,-8.40263692,-8.413731857,-8.517511624,-8.482845377,-8.349507195,-8.343293577,-8.459142989,-8.468187813,-8.377258018,-8.405766783,-8.522313058,-8.498480695,-8.380535374,-8.3992409,-8.548883703,-8.590622252,-8.465251397,-8.432469803,-8.536019603,-8.556233019,-8.429181983,-8.389067729,-8.487107451,-8.524105993,-8.396145037,-8.337309245,-8.429846461,-8.490923193,-8.3767509,-8.310119273,-8.402190394,-8.48941118,-8.394827512,-8.319997531,-8.405512639,-8.502195806,-8.414139227,-8.317674971,-8.367650102,-8.44560054,-8.378252099,-8.317449982,-8.401187996,-8.504227992,-8.41450287,-8.292381875,-8.320347882,-8.425207771
0.48828,-8.797297129,-8.703622472,-8.70881399,-8.792387058,-8.808817436,-8.730301237,-8.759736586,-8.895343548,-8.930378405,-8.770613763,-8.719573386,-8.878719636,-8.982967998,-8.819240792,-8.720697947,-8.834109207,-8.948398633,-8.845955799,-8.741454893,-8.800411927,-8.910082659,-8.855689267,-8.77267214,-8.809065871,-8.874320554,-8.830951479,-8.769040946,-8.799833252,-8.862795207,-8.845050084,-8.777690738,-8.775345044,-8.8336546,-8.848090099,-8.797770697,-8.782439371,-8.830274025,-8.857069235,-8.819773711,-8.789635512,-8.806426121,-8.822351064,-8.785057474,-8.764713949,-8.799965704,-8.814416107,-8.736182726,-8.679124084,-8.710978276
0.5127,-8.895477769,-9.000716289,-9.08304906,-8.987270189,-8.905369571,-9.03115504,-9.197882728,-9.151852921,-8.985714253,-9.014874975,-9.129879085,-9.097509355,-8.975771254,-9.052189693,-9.201284142,-9.149647877,-9.002126853,-9.057237683,-9.206700259,-9.183608468,-9.024621566,-9.059586911,-9.221065444,-9.213672805,-9.022071976,-8.99700961,-9.134996532,-9.176670833,-9.026661419,-8.992975679,-9.123338939,-9.173805101,-9.029575596,-8.981249865,-9.106183082,-9.175192551,-9.042326479,-8.968636093,-9.071766642,-9.156301416,-9.047333505,-8.965513085,-9.066706723,-9.166805555,-9.070322678,-8.985808439,-9.061798173,-9.126596101,-9.058683311
0.53711,-9.078718129,-8.995552812,-8.868708229,-8.892558113,-8.983269243,-8.915356314,-8.826843668,-8.901571144,-9.081351934,-9.034612679,-8.8849376,-8.88146438,-9.033316204,-9.036996306,-8.931377586,-8.94778758,-9.096596664,-9.070363759,-8.9230527,-8.915501177,-9.079591032,-9.079689588,-8.937597414,-8.920782835,-9.062777021,-9.046804286,-8.908047545,-8.902492484,-9.056530619,-9.062773505,-8.916313505,-8.894115638,-9.039122806,-9.060693674,-8.916897044,-8.883552912,-9.018708796,-9.056511825,-8.920540661,-8.880724422,-8.99967061,-9.033203012,-8.89745981,-8.851708009,-8.952992683,-8.966775787,-8.843512456,-8.818561909,-8.923984883
