,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.6113,-10.73338368,-10.72967604,-10.58876224,-10.50445081,-10.5265647,-10.57262032,-10.55036962,-10.5229828,-10.54153342,-10.57431747,-10.53848487,-10.50555963,-10.53136344,-10.57097757,-10.5342534,-10.49274314
1.6357,-10.83828665,-10.64881581,-10.64524034,-10.76919465,-10.6809432,-10.4670276,-10.47941627,-10.67224982,-10.66976034,-10.46689236,-10.46240117,-10.65004216,-10.6896008,-10.46794792,-10.41945476,-10.60648525
1.6602,-10.31065957,-10.32058783,-10.32735841,-10.30217119,-10.24174921,-10.20556698,-10.22012051,-10.23804684,-10.22201187,-10.20640014,-10.23785824,-10.26853801,-10.2381664,-10.19206518,-10.19533354,-10.19975165
1.6846,-10.11276932,-10.15967286,-10.2170539,-10.15109312,-10.07436728,-10.1181978,-10.20762999,-10.17629324,-10.08201182,-10.10787668,-10.2023405,-10.20066138,-10.1138113,-10.12557339,-10.19600301,-10.19004501
1.709,-10.47873486,-10.39125646,-10.36593109,-10.42479566,-10.4552438,-10.39628254,-10.39237046,-10.44403947,-10.4596508,-10.38506476,-10.36827416,-10.42876042,-10.46924178,-10.41974899,-10.40832602,-10.44471784
1.7334,-10.47097148,-10.49264723,-10.51164989,-10.4803823,-10.42333358,-10.43892979,-10.49742008,-10.49288488,-10.41464988,-10.38874454,-10.43829811,-10.44860322,-10.38823792,-10.36111712,-10.40344913,-10.43460799
1.7578,-10.79931467,-10.6505738,-10.48998523,-10.56556762,-10.6759384,-10.57381145,-10.44520954,-10.5444511,-10.68677064,-10.59578246,-10.43172987,-10.52233588,-10.69537204,-10.59892745,-10.38732071,-10.45894841
1.7822,-10.53020481,-10.62357062,-10.5924028,-10.4264958,-10.4212846,-10.60241866,-10.62862348,-10.4306644,-10.38498939,-10.56044478,-10.62869845,-10.4399491,-10.35475759,-10.49882441,-10.5948626,-10.43545793
1.8066,-10.68041479,-10.67476514,-10.71710863,-10.66790387,-10.52266091,-10.48330604,-10.54832346,-10.54428242,-10.44014687,-10.4369598,-10.53654558,-10.56567854,-10.46366447,-10.43960615,-10.55207001,-10.62507417
1.8311,-10.62922995,-10.61304309,-10.62047873,-10.59963368,-10.46448466,-10.36361,-10.40564983,-10.52071054,-10.44653001,-10.33702991,-10.39339154,-10.5390918,-10.48199297,-10.35803451,-10.38463009,-10.50324741
1.8555,-10.35153541,-10.36418515,-10.38342389,-10.26438573,-10.11932846,-10.10906236,-10.23053038,-10.23140678,-10.10943714,-10.08572966,-10.20641607,-10.25606459,-10.15956231,-10.13828464,-10.25255094,-10.29260015
1.8799,-10.45688887,-10.46863947,-10.36608063,-10.23449671,-10.14274787,-10.11554515,-10.13005565,-10.17703767,-10.16657375,-10.12422832,-10.10796489,-10.12588465,-10.14728333,-10.14213117,-10.15529157,-10.17907541
1.9043,-10.23341852,-10.30336348,-10.45820521,-10.3629309,-10.11377527,-10.06459262,-10.22370291,-10.27119946,-10.08611625,-10.03472616,-10.19182362,-10.26598236,-10.07649462,-9.994502211,-10.13519065,-10.20386155
1.9287,-10.02864021,-10.00777212,-10.09205403,-10.03024544,-9.87266354,-9.827981042,-9.983965493,-10.03647374,-9.87455403,-9.803353376,-9.965772769,-10.04719401,-9.869130757,-9.757802968,-9.863048106,-9.924063593
1.9531,-9.908932161,-9.939885314,-9.97570133,-9.883067898,-9.74300793,-9.738853247,-9.812114148,-9.791107599,-9.695862604,-9.696773862,-9.790387163,-9.796197278,-9.712791433,-9.709216633,-9.817098291,-9.835509687
1.9775,-10.06584477,-9.926839985,-10.05005096,-10.20597108,-10.0241197,-9.867543742,-9.975222499,-10.1789175,-10.03391482,-9.85544529,-9.938859508,-10.18132703,-10.08842131,-9.891512319,-9.932762998,-10.18477904
2.002,-10.07886296,-10.02909484,-10.06338974,-10.07800537,-10.05492067,-9.999708274,-10.05350751,-10.07940367,-10.04523518,-9.976042636,-10.00105952,-10.00035953,-9.970417619,-9.909246717,-9.946621158,-9.955840262
2.0264,-10.00677156,-10.07695948,-9.873993836,-9.779041388,-9.89594795,-9.975832699,-9.821762229,-9.732865619,-9.842678092,-9.94241666,-9.80501784,-9.695309922,-9.777331791,-9.906002329,-9.807382395,-9.676563851
2.0508,-10.1634023,-10.28631025,-10.01694982,-9.841486627,-9.920080648,-10.08716087,-9.971391274,-9.836399103,-9.900363289,-10.08824309,-10.00040907,-9.848315437,-9.881165982,-10.07456564,-10.04063833,-9.886021265
2.0752,-9.814979999,-9.765397675,-9.835239988,-9.773157682,-9.649211875,-9.625264445,-9.772558483,-9.780255076,-9.658342131,-9.619929539,-9.775805992,-9.799680726,-9.673861691,-9.612542477,-9.760967488,-9.806604232
2.0996,-9.777983254,-9.67680408,-9.58391322,-9.646806298,-9.662323152,-9.534499344,-9.472960672,-9.598985223,-9.675180841,-9.569520926,-9.489651757,-9.604700945,-9.685337308,-9.585627381,-9.488532468,-9.593545144
2.124,-9.732017326,-9.67909597,-9.612462643,-9.563154185,-9.461317764,-9.376580398,-9.419487657,-9.519147862,-9.478793953,-9.387716173,-9.417542824,-9.507269533,-9.461102357,-9.363755911,-9.397068872,-9.502083586
2.1484,-9.633075056,-9.58809092,-9.547536465,-9.428988865,-9.255892283,-9.172726834,-9.244695336,-9.301996866,-9.231657846,-9.153823178,-9.214728285,-9.278494049,-9.226104836,-9.139072857,-9.180848738,-9.240851533
2.1729,-9.986139578,-9.910205381,-9.839855565,-9.825033246,-9.635735998,-9.43796664,-9.453747113,-9.677982109,-9.64673591,-9.447901537,-9.431732119,-9.651272332,-9.65837243,-9.468848135,-9.419138433,-9.617235841
2.1973,-9.897702169,-10.01336214,-9.930301012,-9.717774675,-9.614306122,-9.628718865,-9.676032923,-9.625296246,-9.583652617,-9.610936041,-9.670049041,-9.629026999,-9.571438778,-9.571101874,-9.6530645,-9.680818534
