,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0.24414,-10.43821994,-10.35074553,-10.50085877,-10.57352068,-10.42123186,-10.31331275,-10.45269961,-10.5666616,-10.4376119,-10.31410722,-10.42258382,-10.5520718,-10.4605276,-10.32591662,-10.4141947,-10.55807335,-10.49668678,-10.35240659,-10.41089765,-10.5848734,-10.56527774,-10.40559866,-10.42992572,-10.59127021,-10.58502073,-10.40994118,-10.40293865,-10.55331725,-10.57129341,-10.46989378,-10.51341242,-10.63839135,-10.59271986,-10.44591389,-10.45045412,-10.57562408,-10.59138632,-10.46968032,-10.43865979,-10.56019734,-10.63795559,-10.55000317,-10.45521773,-10.50375406,-10.61431663,-10.5943395,-10.49202521,-10.51003727,-10.62176565,-10.61210622,-10.50024367,-10.49469638,-10.58809596,-10.58780008,-10.49710386,-10.49648292
0.26855,-10.56859129,-10.64024772,-10.48025155,-10.40179127,-10.55624982,-10.65246815,-10.48647669,-10.37789395,-10.51894626,-10.60621703,-10.4592187,-10.34232126,-10.48884462,-10.62586573,-10.48782156,-10.33948308,-10.44888219,-10.5931748,-10.48137286,-10.31152652,-10.41330963,-10.63241482,-10.55116513,-10.335949,-10.38609976,-10.5907438,-10.52138871,-10.31872599,-10.38923085,-10.62510375,-10.62902432,-10.41343579,-10.41681927,-10.60286225,-10.63428856,-10.42210943,-10.41252649,-10.61945578,-10.68118064,-10.47687932,-10.43087511,-10.63815313,-10.73924875,-10.52430426,-10.44115529,-10.62653762,-10.73350125,-10.53341068,-10.42827904,-10.60273451,-10.74135506,-10.55624276,-10.40423591,-10.52513886,-10.64755398,-10.47886278
0.29297,-10.56029533,-10.50333257,-10.33221631,-10.36951476,-10.46575063,-10.33390663,-10.20799959,-10.29350851,-10.44510383,-10.33826831,-10.17790728,-10.22784682,-10.39552132,-10.34173484,-10.17998053,-10.20425422,-10.38246958,-10.35496537,-10.1904786,-10.18772805,-10.36616246,-10.3757054,-10.2247249,-10.18373304,-10.32581607,-10.40106597,-10.27606353,-10.22795033,-10.34543525,-10.400812,-10.29901191,-10.26443472,-10.39115059,-10.47675269,-10.37665112,-10.30644639,-10.40306384,-10.49246758,-10.38306896,-10.28467576,-10.35825987,-10.46642115,-10.3743139,-10.28691007,-10.36607522,-10.4693264,-10.35793655,-10.26073297,-10.34835961,-10.47385929,-10.37559429,-10.24732203,-10.29099291,-10.4079985,-10.36610549,-10.25164555
0.31738,-10.24480672,-10.22034446,-10.10680854,-10.12018909,-10.10474342,-10.02878127,-10.01064818,-10.04767927,-10.07924857,-10.0165383,-9.979663793,-10.01121961,-10.07554588,-10.02323082,-9.977198709,-9.985576982,-10.06451873,-10.02394699,-9.980434137,-9.980045801,-10.07904812,-10.04431961,-9.993622925,-9.982093063,-10.09707524,-10.0804201,-10.02319043,-9.99669817,-10.14399023,-10.15861945,-10.0843732,-10.01572006,-10.13125694,-10.16940624,-10.12222959,-10.0513616,-10.13592234,-10.1766575,-10.12387914,-10.03105117,-10.08437792,-10.12846521,-10.08490594,-10.00697223,-10.06184111,-10.13301853,-10.07549382,-9.976386489,-10.01693943,-10.10897617,-10.06881205,-9.966648576,-9.985666331,-10.10004715,-10.07548371,-9.972625209
0.3418,-9.988412678,-10.00994952,-10.07992159,-10.05709467,-9.991335322,-9.968766266,-10.05979316,-10.08144077,-9.978855321,-9.909058012,-9.995531996,-10.06023355,-9.983235374,-9.934359628,-10.00858499,-10.05116483,-9.983705853,-9.931718883,-9.999054792,-10.06201067,-10.0122227,-9.95578519,-9.99200014,-10.05598895,-10.04453934,-10.01370955,-10.01892477,-10.08457647,-10.06833664,-10.01754572,-10.01117419,-10.09609625,-10.09654191,-10.0535822,-10.04040832,-10.11844591,-10.1095113,-10.05799392,-10.03334621,-10.11000895,-10.10886231,-10.05466488,-10.02704055,-10.10189016,-10.08016452,-9.994637381,-9.950329968,-10.03297322,-10.05497743,-9.989234486,-9.926783898,-10.02067687,-10.05410297,-9.990507051,-9.927985328,-10.02744692
0.36621,-9.771637032,-9.64380781,-9.682929522,-9.840402763,-9.803661912,-9.635655524,-9.621317306,-9.761090948,-9.779054075,-9.625880389,-9.597545583,-9.741416146,-9.788449272,-9.62136298,-9.563602924,-9.715479661,-9.796389603,-9.644336986,-9.568500193,-9.721037485,-9.84081413,-9.687520931,-9.582922411,-9.72849629,-9.904452897,-9.800021648,-9.692323856,-9.801238868,-9.926900809,-9.806725506,-9.694824884,-9.798344516,-9.926705347,-9.82265206,-9.710863014,-9.812675042,-9.959716844,-9.861816575,-9.728800634,-9.79513719,-9.930455603,-9.853403081,-9.726891332,-9.793472913,-9.947967168,-9.870589011,-9.682851239,-9.711735158,-9.902555035,-9.883699266,-9.686437569,-9.682755344,-9.869526274,-9.882916286,-9.681278482,-9.650444664
0.39062,-9.540058102,-9.494003106,-9.506766422,-9.472516198,-9.407298066,-9.436920304,-9.576584596,-9.589767724,-9.458224834,-9.435773079,-9.566680476,-9.600718402,-9.463118715,-9.379843124,-9.433366224,-9.471789548,-9.449813359,-9.425997332,-9.466984231,-9.485449107,-9.436524232,-9.390695269,-9.436234537,-9.490997253,-9.450742536,-9.396611638,-9.47164362,-9.602990634,-9.582503894,-9.447698521,-9.453922814,-9.570529883,-9.573831014,-9.452433293,-9.460370507,-9.586242607,-9.595060421,-9.465891628,-9.442516704,-9.569502815,-9.612640193,-9.498640413,-9.448208432,-9.554567485,-9.601035046,-9.480715164,-9.408914172,-9.509969571,-9.596836975,-9.525124598,-9.455008155,-9.534411498,-9.599016843,-9.516607932,-9.44014117,-9.515329343
0.41504,-9.162992321,-9.290296933,-9.259394056,-9.096289877,-9.035517908,-9.150811598,-9.23001197,-9.137704314,-9.054663496,-9.137060708,-9.227817902,-9.162411758,-9.06327953,-9.079804837,-9.109697249,-9.069653957,-8.99517912,-9.001277292,-9.024131455,-8.995827674,-8.941413388,-8.974583527,-9.02600228,-9.010447183,-8.956647587,-8.994271528,-9.071499268,-9.069242259,-8.990262966,-9.010682036,-9.086193274,-9.079586091,-8.981294898,-8.98383005,-9.075926831,-9.103287698,-9.001728001,-8.964016477,-9.045876934,-9.095365046,-9.001918573,-8.942953604,-9.029487125,-9.10462784,-9.019493351,-8.927147993,-8.994705998,-9.09562932,-9.064852888,-8.975166292,-9.022992,-9.114904722,-9.081007454,-8.970399171,-9.001069767,-9.099725903
0.43945,-8.744476002,-8.814029005,-8.763384458,-8.660847349,-8.645486657,-8.666015858,-8.635126043,-8.601127581,-8.646252442,-8.703033393,-8.684720232,-8.65032674,-8.706574549,-8.788813298,-8.764561396,-8.676371357,-8.704825176,-8.785291049,-8.72628874,-8.598884854,-8.628154752,-8.748968682,-8.733760245,-8.608199444,-8.629764743,-8.768336897,-8.778309214,-8.634874794,-8.617137324,-8.743316418,-8.806265998,-8.691966875,-8.633768517,-8.721367272,-8.813020307,-8.745207742,-8.683276812,-8.732930415,-8.775522987,-8.68793922,-8.636870019,-8.72005897,-8.798410856,-8.736313425,-8.672754053,-8.723323203,-8.787244213,-8.747849496,-8.683412278,-8.720085984,-8.781099869,-8.749782927,-8.673272707,-8.698842374,-8.763717734,-8.745105826
0.46387,-8.508332752,-8.585818479,-8.594810977,-8.510367463,-8.462530923,-8.501564407,-8.549357952,-8.520859393,-8.488456889,-8.523079151,-8.581536764,-8.570624063,-8.529574073,-8.556067697,-8.625209398,-8.614874381,-8.536373246,-8.522559166,-8.566288769,-8.534427276,-8.450162284,-8.465843041,-8.553422768,-8.554496428,-8.47638196,-8.470431905,-8.535770763,-8.539443878,-8.488264033,-8.516293483,-8.620170156,-8.645330738,-8.592986935,-8.6082935,-8.68679376,-8.667912715,-8.55494328,-8.508223201,-8.564559352,-8.593933711,-8.540466841,-8.510844857,-8.574117989,-8.621709804,-8.571975105,-8.535703727,-8.585477983,-8.620005451,-8.566083506,-8.523982072,-8.572987425,-8.615563956,-8.558549974,-8.504063955,-8.55895189,-8.627115643
