,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0.48828,-8.789742898,-8.764021793,-8.863557957,-8.876311289,-8.758541474,-8.720415856,-8.841077167,-8.863443014,-8.732189514,-8.663174293,-8.768773449,-8.832631552,-8.740996774,-8.653131719,-8.727156414,-8.79010644,-8.72793886,-8.660244687,-8.73144039,-8.80659372,-8.749725133,-8.653868968,-8.692495303,-8.745470367,-8.662529515,-8.570989619,-8.627588551,-8.733712005,-8.698265096,-8.604124324,-8.622513962,-8.711531743,-8.714743464,-8.633727857,-8.615423887,-8.675510508,-8.709719171,-8.683187068,-8.668564516,-8.697626804,-8.684724865,-8.635087754,-8.62581918,-8.673201883,-8.680221546,-8.654319989,-8.642285867
0.5127,-9.072167409,-9.075119347,-8.992888227,-8.978931425,-9.003930547,-9.001207463,-8.956925947,-8.986685035,-9.007341085,-8.983913915,-8.952958088,-9.005962423,-9.022978206,-8.970109146,-8.932897333,-8.983669086,-8.995855487,-8.93577567,-8.920857362,-8.99317783,-9.019944285,-8.957959212,-8.933536205,-8.985736581,-8.949106285,-8.812478863,-8.846626988,-9.082264621,-9.126736347,-8.84520026,-8.7844465,-9.03008961,-9.158123593,-8.890300836,-8.81385669,-9.050137086,-9.183096168,-8.892784549,-8.778324859,-9.00031128,-9.19284198,-8.926333486,-8.779789441,-8.981639572,-9.212792665,-8.975310956,-8.814022062
0.53711,-8.953645164,-8.970627912,-8.903852606,-8.901513319,-8.982067551,-8.974358463,-8.883655969,-8.863316217,-8.930015109,-8.928161487,-8.851034634,-8.838362742,-8.89213492,-8.874790888,-8.812307849,-8.837438239,-8.890790235,-8.847824751,-8.773491369,-8.814765965,-8.878072226,-8.853841973,-8.77962063,-8.796103004,-8.819826902,-8.746420011,-8.664474233,-8.750798595,-8.863897967,-8.789934816,-8.646468239,-8.717927937,-8.862530518,-8.815941528,-8.647755005,-8.681479297,-8.823392776,-8.810432578,-8.649458287,-8.659291202,-8.797665578,-8.806385047,-8.658127985,-8.671762195,-8.853652453,-8.910330403,-8.746658167
0.56152,-8.898525582,-8.807849436,-8.778807352,-8.840937107,-8.855441359,-8.796077539,-8.783831372,-8.823627001,-8.814685398,-8.761226799,-8.77538834,-8.830007533,-8.815617571,-8.73502102,-8.720496688,-8.77765275,-8.828638026,-8.781782852,-8.738913588,-8.756271438,-8.820430988,-8.789207662,-8.740606085,-8.739271889,-8.804158425,-8.787866851,-8.682907767,-8.596469477,-8.667867049,-8.781947767,-8.774192362,-8.651216361,-8.651222612,-8.734067812,-8.740861811,-8.635754538,-8.637801281,-8.728905624,-8.748047243,-8.638671797,-8.608465758,-8.69385236,-8.758546839,-8.699336995,-8.674122039,-8.742058016,-8.775189394
0.58594,-8.976785939,-8.83936168,-8.844770704,-8.964653052,-8.95893901,-8.828938479,-8.824084494,-8.925669909,-8.913596397,-8.810378285,-8.820977478,-8.93580408,-8.93190757,-8.805745168,-8.793450418,-8.955313336,-9.032087492,-8.90210872,-8.823109585,-8.934108113,-9.004799475,-8.897312099,-8.811810483,-8.919769508,-9.013877497,-8.904852002,-8.740599697,-8.721355827,-8.791588042,-8.802749663,-8.705870742,-8.673834921,-8.740062405,-8.776695174,-8.709763123,-8.678507404,-8.736913631,-8.79197873,-8.747650435,-8.689216078,-8.710518679,-8.76283316,-8.75108806,-8.708673564,-8.722429627,-8.773399548,-8.775829474
0.61035,-8.935808247,-8.989573277,-8.908372732,-8.855030306,-8.934772642,-8.997247857,-8.943683335,-8.878714529,-8.9123693,-8.941891532,-8.900298031,-8.860019316,-8.897637824,-8.941527982,-8.924034476,-8.907112488,-8.943658368,-8.958441786,-8.905270623,-8.886104875,-8.947268999,-8.967326751,-8.894416517,-8.864480538,-8.936375261,-8.965819946,-8.81233658,-8.683282433,-8.719702817,-8.852811647,-8.847038782,-8.708248278,-8.661988308,-8.764749631,-8.804544396,-8.703309195,-8.650879111,-8.757605078,-8.822524417,-8.73508282,-8.659053936,-8.744692708,-8.828764297,-8.75273816,-8.661265001,-8.737561795,-8.840581495
0.63477,-8.893419549,-8.919228467,-8.854781223,-8.834713149,-8.894853215,-8.943009972,-8.871802698,-8.817934178,-8.842185236,-8.86605966,-8.791135668,-8.742232689,-8.791637741,-8.832399858,-8.778681108,-8.738430255,-8.806787078,-8.856027635,-8.807338858,-8.759664664,-8.82392004,-8.886718997,-8.845170293,-8.776516919,-8.819915706,-8.853987437,-8.783749701,-8.691326924,-8.735961384,-8.798008783,-8.749626854,-8.668028215,-8.709211578,-8.768681305,-8.749550728,-8.687794556,-8.733535597,-8.77054406,-8.737737415,-8.706144738,-8.828980732,-8.94412248,-8.89270917,-8.787104081,-8.84911853,-8.936231639,-8.881654478
0.65918,-8.474264306,-8.548652947,-8.594431791,-8.537901797,-8.496072358,-8.541571419,-8.585770901,-8.540962629,-8.489791962,-8.526690655,-8.575374895,-8.523765494,-8.441911267,-8.454449206,-8.490442337,-8.454562347,-8.389162452,-8.427227152,-8.491119796,-8.466405005,-8.388701467,-8.4088974,-8.459977695,-8.447611176,-8.408576828,-8.457876402,-8.489528209,-8.441521494,-8.396339334,-8.454710048,-8.487593671,-8.439168179,-8.413445236,-8.503836894,-8.554090922,-8.487892327,-8.431297933,-8.505782173,-8.569261281,-8.530379451,-8.499284561,-8.579526215,-8.62118098,-8.55741435,-8.52403305,-8.605917265,-8.650262864
0.68359,-8.791618432,-8.7169476,-8.616768495,-8.728336856,-8.875196075,-8.742114363,-8.604628012,-8.694071115,-8.873263602,-8.781153488,-8.616109993,-8.678430151,-8.858951574,-8.761629145,-8.56777593,-8.612262855,-8.811625953,-8.765498682,-8.579954447,-8.609029157,-8.808001165,-8.773962838,-8.566527668,-8.549211419,-8.702635756,-8.689995636,-8.541491387,-8.551073573,-8.712713594,-8.700321491,-8.540345592,-8.533241384,-8.688729441,-8.709336729,-8.56303632,-8.534029862,-8.665456044,-8.703500026,-8.563713209,-8.521138671,-8.635457271,-8.690910758,-8.573441825,-8.524214094,-8.635696074,-8.74813248,-8.663981676
0.70801,-8.843639758,-8.994515065,-9.001412919,-8.959781341,-8.998930416,-9.03366549,-8.913429932,-8.82555246,-8.873155608,-8.934231886,-8.865014003,-8.783793845,-8.827395267,-8.907550276,-8.873962944,-8.786125502,-8.823669734,-8.920699642,-8.917118308,-8.820334514,-8.826900045,-8.906719567,-8.924619704,-8.834011967,-8.78874161,-8.824832081,-8.914313675,-8.950411405,-8.923608553,-8.892090795,-8.93652513,-8.965992063,-8.960462316,-8.928331206,-8.926375083,-8.894065474,-8.869900019,-8.873839043,-8.918038932,-8.901764637,-8.855263867,-8.828622327,-8.873124007,-8.900152353,-8.900934998,-8.898288076,-8.933394646
